,artist,Count
0,Taylor Swift,151
1,Weezer,115
2,Elliott Smith,67
3,Alex G,65
4,Fleetwood Mac,63
5,David Bowie,63
6,The Rolling Stones,60
7,The Beatles,59
8,Mitski,52
9,The 1975,51
10,John Prine,48
11,Talking Heads,47
12,Beach House,46
13,Phoebe Bridgers,42
14,Rina Sawayama,42
15,Arctic Monkeys,42
16,Frank Ocean,41
17,The Strokes,40
18,Queen,40
19,Lana Del Rey,39
20,Björk,39
21,Cocteau Twins,36
22,Beyoncé,33
23,Elton John,33
24,Pink Floyd,32
25,Lorde,32
26,Harry Styles,31
27,Omar Apollo,30
28,The Jimi Hendrix Experience,29
29,Stevie Wonder,29
30,Radiohead,29
31,Lady Gaga,29
32,Vampire Weekend,29
33,ABBA,29
34,The Cure,29
35,Gorillaz,29
36,Tame Impala,29
37,Steve Lacy,28
38,Eagles,27
39,BTS,27
40,Grimes,26
41,Fiona Apple,26
42,Big Thief,26
43,The Cranberries,26
44,The Smashing Pumpkins,25
45,The Killers,25
46,The Smiths,25
47,Charlie Puth,25
48,SEVENTEEN,24
49,The Mermen,24
50,Charli XCX,23
51,Nirvana,23
52,Billy Joel,23
53,Cage the Elephant,23
54,Electric Light Orchestra,22
55,MGMT,22
56,Thelonious Monk,21
57,Declan McKenna,21
58,TWICE,21
59,Bread,21
60,Led Zeppelin,21
61,Mamalarky,20
62,Arca,20
63,SZA,20
64,Mazzy Star,20
65,beabadoobee,20
66,Dolly Parton,20
67,Ariana Grande,20
68,Joe Hisaishi,19
69,Alvvays,19
70,Michael Jackson,19
71,Sufjan Stevens,19
72,Florence + the Machine,19
73,Pavement,19
74,The Neighbourhood,19
75,Peach Pit,19
76,Clairo,18
77,NIKI,18
78,Jimi Hendrix,18
79,Metric,18
80,King Gizzard & The Lizard Wizard,18
81,R.E.M.,18
82,Sleater-Kinney,18
83,The Who,18
84,Aphex Twin,18
85,Kendrick Lamar,18
86,Mac Miller,17
87,George Harrison,17
88,Black Sabbath,17
89,Faye Webster,17
90,Charlie Parker,17
91,Carly Rae Jepsen,17
92,my bloody valentine,17
93,Wilco,17
94,Daryl Hall & John Oates,17
95,America,17
96,John Lennon,17
97,Japanese Breakfast,17
98,The Breeders,17
99,Eiichi Otaki,17
100,Seatbelts,16
101,iwashiro taro,16
102,Paramore,16
103,BLACKPINK,16
104,My Chemical Romance,16
105,The Chairs,16
106,The Doors,16
107,Yves Tumor,16
108,Steely Dan,16
109,Simon & Garfunkel,16
110,Creedence Clearwater Revival,15
111,Artist Name(s),15
112,Chicago,15
113,Glass Animals,15
114,ROSALÍA,15
115,Belle and Sebastian,15
116,Blood Orange,15
117,Liz Phair,15
118,Kenny Beats,15
119,Conan Gray,15
120,Bob Marley & The Wailers,15
121,The Police,15
122,Animal Collective,15
123,Phoenix,15
124,Beastie Boys,15
125,The Beach Boys,14
126,Slowdive,14
127,Bladee,14
128,Childish Gambino,14
129,No Doubt,14
130,Snail Mail,14
131,Norah Jones,14
132,The Green Pajamas,14
133,Glee Cast,14
134,Bon Iver,14
135,Nick Drake,14
136,Neko Case,14
137,Death Cab for Cutie,14
138,The Weeknd,14
139,Stereolab,14
140,The Clash,13
141,Paul Simon,13
142,Stars,13
143,Beck,13
144,Britney Spears,13
145,Strawberry Alarm Clock,13
146,Orson Wells,13
147,Deftones,13
148,Jesse Jo Stark,13
149,Rihanna,13
150,Wallows,13
151,Drake,13
152,One Direction,13
153,Kanye West,13
154,Courtney Barnett,13
155,Bob Dylan,13
156,Smino,13
157,Blue Öyster Cult,13
158,Angel Olsen,13
159,Weyes Blood,13
160,Crumb,13
161,Tears for Fears,13
162,Toto,13
163,Coldplay,13
164,Robert Gordon,13
165,Marvin Gaye,13
166,Yo La Tengo,13
167,Men I Trust,13
168,PinkPantheress,13
169,Green Day,13
170,Grateful Dead,13
171,Tanukichan,12
172,Robert Lester Folsom,12
173,K Suave,12
174,Miley Cyrus,12
175,Surf Curse,12
176,Yoko Ono,12
177,Amy Winehouse,12
178,Halsey,12
179,Pixies,12
180,Jon Brion,12
181,The Cars,12
182,Tom Waits,12
183,Panic! At the Disco,12
184,Fall Out Boy,12
185,Vashti Bunyan,12
186,Bleachers,12
187,Wednesday,12
188,Bad Bunny,12
189,Neutral Milk Hotel,12
190,Soccer Mommy,12
191,Sublime,12
192,Albert Collins,12
193,Travesty LTD,12
194,Maggie Rogers,12
195,Joji,11
196,Daft Punk,11
197,Duster,11
198,Billy Crespo,11
199,The Sundays,11
200,Kate Bush,11
201,Travesty Ltd,11
202,Makaya McCraven,11
203,Asunojokei,11
204,Dire Straits,11
205,Bee Gees,11
206,Interpol,11
207,Etta James,11
208,Ryuichi Sakamoto,11
209,Spirit,11
210,The Kinks,11
211,Warren Zevon,11
212,Sonic Youth,11
213,Flying Lotus,11
214,Melody's Echo Chamber,10
215,CAKE,10
216,Blondie,10
217,Miles Davis,10
218,Winter,10
219,The Internet,10
220,Tom Petty & The Heartbreakers,10
221,Sobs,10
222,Van Morrison,10
223,JID,10
224,The Velvet Underground,10
225,Bill Withers,10
226,Nas,10
227,Foo Fighters,10
228,Siouxsie & The Banshees,10
229,Lamp,10
230,Marc Anthony,10
231,Thundercat,10
232,Spoon,10
233,Car Seat Headrest,10
234,Sade,10
235,Yeah Yeah Yeahs,10
236,Jim Croce,10
237,Ten Years After,10
238,Earl Sweatshirt,10
239,Jimmy Buffett,10
240,Lucy Dacus,10
241,Eric Clapton,10
242,DOMi & JD BECK,10
243,Bruce Springsteen,10
244,Duran Duran,9
245,FKA twigs,9
246,The Regrettes,9
247,The White Stripes,9
248,Oneohtrix Point Never,9
249,Faye Wong,9
250,Margo Guryan,9
251,The Mamas & The Papas,9
252,Prince,9
253,"Earth, Wind & Fire",9
254,Freddie Gibbs,9
255,Title Fight,9
256,Marina and The Diamonds,9
257,The Replacements,9
258,James Brown,9
259,Tegan and Sara,9
260,LE SSERAFIM,9
261,Lou Reed,9
262,Josh Ritter,9
263,Wes Montgomery,9
264,St. Vincent,9
265,U2,9
266,Hole,9
267,TV Girl,9
268,Hozier,9
269,Yann Tiersen,9
270,Le Tigre,9
271,Lil Nas X,9
272,Caroline Polachek,9
273,Susumu Hirasawa,9
274,Todd Snider,9
275,Muse,9
276,Adele,9
277,Hayley Kiyoko,9
278,Janelle Monáe,9
279,Solange,9
280,Rilo Kiley,9
281,Turnstile,9
282,Missy Elliott,9
283,King Krule,9
284,Townes Van Zandt,9
285,Lush,9
286,New Order,9
287,Kali Uchis,9
288,The Shins,8
289,Dua Lipa,8
290,Warpaint,8
291,Steve Miller Band,8
292,Arlo Parks,8
293,Flipphoneshwty,8
294,Jefferson Airplane,8
295,Wolf Alice,8
296,Laufey,8
297,wave to earth,8
298,Floating Points,8
299,Panda Bear,8
300,Kid Cudi,8
301,Kim Eaton,8
302,Joan Jett & the Blackhearts,8
303,Maroon 5,8
304,Joey Alexander,8
305,NCT 127,8
306,Olivia Rodrigo,8
307,Bratmobile,8
308,The Mountain Goats,8
309,Bobby Valentín,8
310,Kris Kristofferson,8
311,Broadcast,8
312,Spice Girls,8
313,Rage Against the Machine,8
314,Ethel Cain,8
315,The Stone Coyotes,8
316,Erykah Badu,8
317,John Mayer,8
318,Built to Spill,8
319,Ween,8
320,John Denver,8
321,Boards of Canada,8
322,Nala Sinephro,8
323,Quicksilver Messenger Service,8
324,Billie Eilish,8
325,Hippo Campus,8
326,Loretta Lynn,8
327,Alanis Morissette,8
328,Hojean,8
329,SASAMI,8
330,Oasis,8
331,The Avalanches,8
332,HAIM,8
333,The Apples In Stereo,8
334,Victor Manuelle,8
335,Michael Kamen,8
336,The Flaming Lips,8
337,"Tyler, The Creator",8
338,Mac DeMarco,8
339,Bastille,8
340,Primus,8
341,Destroy Boys,8
342,The Allman Brothers Band,8
343,UMI,8
344,Haley Heynderickx,8
345,Van Halen,8
346,Zedd,8
347,Donovan,8
348,IU,8
349,Chet Baker,8
350,The Helio Sequence,8
351,Lizzo,8
352,Jackson Browne,8
353,Todd Rundgren,8
354,Sweet Trip,8
355,Isaiah Rashad,8
356,Red Hot Chili Peppers,8
357,Mountain,8
358,Depeche Mode,7
359,"Bobby ""Boris"" Pickett & The Crypt-Kickers",7
360,Too Much Joy,7
361,Basement,7
362,Tom Misch,7
363,Blur,7
364,Tom Petty,7
365,Bladee & Ecco2k,7
366,Vulfpeck,7
367,ONE OK ROCK,7
368,Xiu Xiu,7
369,Elvin Bishop,7
370,Dr. John,7
371,blue smiley,7
372,Ramones,7
373,CHVRCHES,7
374,BROCKHAMPTON,7
375,Djo,7
376,Robert Palmer,7
377,Destiny's Child,7
378,Pretty Sick,7
379,Modest Mouse,7
380,Wet Leg,7
381,Crush,7
382,Willie Nelson,7
383,Cults,7
384,Death Grips,7
385,NewJeans,7
386,Pharoah Sanders,7
387,John Williams,7
388,Phil Collins,7
389,Art Blakey & The Jazz Messengers,7
390,Sharon Van Etten,7
391,Joy Division,7
392,Journey,7
393,PLASTIC SVN,7
394,Perfume Genius,7
395,Patti Smith,7
396,st vertebrae,7
397,A. G. Cook,7
398,Orla Gartland,7
399,Flume,7
400,Iceage,7
401,Ryo Fukui,7
402,Imagine Dragons,7
403,J Dilla,7
404,Parquet Courts,7
405,Godiego,7
406,Jim Weider,7
407,Al Green,7
408,Seals & Crofts,7
409,Fishmans,7
410,LANY,7
411,Henry Mancini,7
412,Aerosmith,7
413,Kesha,7
414,Kero Kero Bonito,7
415,OutKast,7
416,All India Radio,7
417,The Psychedelic Furs,7
418,Kitty Craft,7
419,MJ Lenderman,7
420,MF DOOM,7
421,Kaptain Kopter & The Fabulous Twirlybirds,7
422,Franz Ferdinand,7
423,Marianne Faithfull,7
424,Kacey Musgraves,7
425,Snow Strippers,7
426,Asake,7
427,Tedeschi Trucks Band,7
428,The Beths,7
429,Various Artists,6
430,Lil Uzi Vert,6
431,Air,6
432,Mother Mother,6
433,Pale Saints,6
434,Supertramp,6
435,Aimee Mann,6
436,Charly Bliss,6
437,Autechre,6
438,Cigarettes After Sex,6
439,Reel Big Fish,6
440,Regina Spektor,6
441,Restraining Order,6
442,Taeko Onuki,6
443,Leslie West,6
444,Noah Kahan,6
445,Cream,6
446,Alessia Cara,6
447,Cryogeyser,6
448,Two Door Cinema Club,6
449,Helena Deland,6
450,Alicia Keys,6
451,Low,6
452,Lucinda Williams,6
453,dodie,6
454,Sega Bodega,6
455,Nina Simone,6
456,Violent Femmes,6
457,Spiritualized,6
458,Wham!,6
459,La Dispute,6
460,Spacemen 3,6
461,Julia Jacklin,6
462,Sophie,6
463,Neil Young,6
464,Justin Bieber,6
465,Willow,6
466,"Snarky Puppy,Metropole Orkest",6
467,XXXTENTACION,6
468,Smerz,6
469,Smash Mouth,6
470,Katy Perry,6
471,Kelly Clarkson,6
472,Kenny Loggins,6
473,"10,000 Maniacs",6
474,Pet Shop Boys,6
475,A Tribe Called Quest,6
476,AC/DC,6
477,WILLOW,6
478,Quarters of Change,6
479,Janko Nilovic,6
480,Lemon Demon,6
481,Raveena,6
482,Yes,6
483,Jeff Buckley,6
484,Panda Bear & Sonic Boom,6
485,of Montreal,6
486,Nico,6
487,Stevie Nicks,6
488,Laundry Day,6
489,Jinsang,6
490,Joan Baez,6
491,Parliament,6
492,Sex Pistols,6
493,John Fahey,6
494,All Time Low,6
495,Yuri Gagarin (SWE),6
496,Kim Petras,6
497,girl in red,6
498,Dry Cleaning,6
499,boy pablo,6
500,OneRepublic,6
501,M83,6
502,Dead or Alive,6
503,The Lears,6
504,Plumtree,6
505,SOPHIE,6
506,MARINA,6
507,Anderson .Paak,6
508,Deerhoof,6
509,Def Leppard,6
510,Andrew Gold,6
511,Gracie Abrams,6
512,Roberto Faz,6
513,Ari Lennox,6
514,The Commodores,6
515,The Zombies,6
516,a-ha,6
517,The Cynics,6
518,Playboi Carti,6
519,Future Islands,6
520,alt-J,6
521,Funkadelic,6
522,Anri,6
523,The Front Bottoms,6
524,Rush,6
525,Madonna,6
526,deca joins,6
527,Eve,6
528,Ambrosia,6
529,Roy Rogers,6
530,The Raincoats,6
531,The New Pornographers,6
532,STAYC,6
533,Tom Teasley,6
534,The Temptations,6
535,Dayglow,6
536,naran ratan,6
537,Eddy Conga Y Su Orquesta,6
538,Fontaines D.C.,5
539,John Coltrane,5
540,Massive Attack,5
541,The Runaways,5
542,They Might Be Giants,5
543,Dominic Fike,5
544,Standing On The Corner,5
545,Thin Lizzy,5
546,Fountains of Wayne,5
547,The Marías,5
548,Simple Minds,5
549,Wendy & Bonnie,5
550,COIN,5
551,Mahmoud Ahmed,5
