"Playlist Date","Playlist Title","DJ ID","DJ Name",Date,Artist,Song,Release,Duration,ISRC,Released
"Nov 17, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Nov 17, 2022","Hot Chelle Rae","Tonight Tonight","Tonight Tonight - EP",3:20,USJI11100019,2011
"Nov 17, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Nov 17, 2022","CeeLo Green","Forget You","The Lady Killer",3:43,USAT21001778,2010
"Nov 17, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Nov 17, 2022","Neon Trees",Animal,"Animal - EP",3:33,USUM71001801,2010
"Nov 17, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Nov 17, 2022","Bruno Mars","Runaway Baby","Doo-Wops & Hooligans",2:28,USAT21206918,2010
"Nov 17, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Nov 17, 2022","Maroon 5","This Love","Songs About Jane",3:27,USJAY0300080,2014
"Nov 17, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Nov 17, 2022","Metro Station","Shake It","Shake It - Single",3:00,USSM10702537,2007
"Nov 17, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Nov 17, 2022","Gym Class Heroes","Cupid's Chokehold (Featuring Patrick Stump)","As Cruel As School Children",3:58,USAT20621892,2006
"Nov 17, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Nov 17, 2022",Supertramp,"Breakfast In America","Breakfast in America (Deluxe Edition) [2010 Remaster]",2:39,USUM71021483,2010
"Nov 17, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Nov 17, 2022","Fleetwood Mac","The Chain",Rumours,4:30,USWB10400053,2004
"Nov 17, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Nov 17, 2022","Steve Miller Band","Fly Like an Eagle","Fly Like an Eagle",4:43,GBBLG7600319,1976
"Nov 17, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Nov 17, 2022","Crosby, Stills & Nash","Our House","Greatest Hits",3:03,USAT29901705,2005
"Nov 17, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Nov 17, 2022","Paul Simon","50 Ways to Leave Your Lover","Still Crazy After All These Years",3:37,USSM11002304,2010
"Nov 17, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Nov 17, 2022","The Rolling Stones","Miss You","Some Girls (2011 Remaster)",4:49,GBCJN7800001,2012
"Nov 17, 2022","FM:Reference Referee",164685,"Josh Tuttelman","Nov 17, 2022","Robert Palmer","Every Kinda People","Addictions, Vol. 1",3:24,USIR27800052,1989
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022","Butch Baby","Wish You Would","Stoned Butch Blues - EP",3:24,TCADW1875938,2018
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022","The Paranoyds","Girlfriend Degree","Carnage Bargain",2:46,US33X1917003,2019
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022",Bleached,"Hard to Kill","Don’t You Think You’ve Had Enough?",3:26,USJ5G1918502,2019
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022",Cub,"My Chinchilla","Betti Cola",1:21,CAMA19300206,1993
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022",Tacocat,"Horse Grrls","Lost Time",2:20,USHF31609510,2016
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022",Bratmobile,"Eating Toothpaste","Ladies, Women and Girls",2:27,USA371597928,2000
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022",Sleater-Kinney,"Don't Think You Wanna","Sleater-Kinney (Remastered)",1:53,USSUB1410301,2014
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022","The Raincoats","Fairytale In the Supermarket","The Raincoats",3:01,GB5ZC0900001,2009
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022","Lung Leg","Edith Massey","Hello Sir",1:32,USKRS0325909,1997
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022",Cadallaca,"Your One Wish","Introducing Cadallaca",3:23,USK110408601,1998
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022","Heavens to Betsy",axemen,Calculated,4:19,USKRS0322207,
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022","Hank Williams","Lost Highway","The Original Singles Collection (Plus)",2:42,USPR34900125,1992
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022","Dog Party","Today I Started Loving You Again","Today I Started Loving You Again - Single",2:17,TCAET2094838,2020
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022","Shannon & The Clams","Hunk Hunt","Hunk Hunt - EP",1:48,US4KC1194503,2010
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022","The Pleasure Seekers","What a Way to Die","What a Way to Die",2:25,USCGJ1131568,2011
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022","The Aquadolls","Take Me Away","Take Me Away - Single",3:00,QZK6F2091942,2020
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022",T-Rextasy,"Girl, Friend",Prehysteria,2:28,QZ4JJ1807180,2018
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022","The Cramps","Goo Goo Muck","Psychedelic Jungle",3:06,USIR38100013,1981
"Nov 17, 2022",FM:Girlypop!,164712,"Willow Morrissey","Nov 17, 2022","Liz Phair","Mesmerizing (Remastered)","Exile In Guyville",3:56,USMTD1810603,1993
"Nov 17, 2022","FM:Das Kapital",165005,,"Nov 17, 2022","Luna Li",Afterglow,"Afterglow - Single",3:18,CAUM81900110,2020
"Nov 17, 2022","FM:Das Kapital",165005,,"Nov 17, 2022",Clairo,Amoeba,Sling,3:49,USUG12101891,2021
"Nov 17, 2022","FM:Das Kapital",165005,,"Nov 17, 2022","John Mayer","No Such Thing","Room for Squares",3:51,USSM10102940,2001
"Nov 17, 2022","FM:Das Kapital",165005,,"Nov 17, 2022",Jamiroquai,"Virtual Insanity (Remastered)","High Times (Singles 1992-2006) [Remastered 2006]",3:49,GBARL0601475,2006
"Nov 17, 2022","FM:Das Kapital",165005,,"Nov 17, 2022",Lorde,Ribs,"Pure Heroine",4:19,NZUM71300122,2013
"Nov 17, 2022","FM:Das Kapital",165005,,"Nov 17, 2022",Yutzy,"The Leaves",Lush,4:25,UST8K1849249,2018
"Nov 17, 2022","FM:Das Kapital",165005,,"Nov 17, 2022",Sia,"Beautiful Calm Driving","Some People Have Real Problems",5:03,GBPNH0700012,2007
"Nov 17, 2022","FM:Das Kapital",165005,,"Nov 17, 2022",Eagles,"Hotel California","Hotel California",6:31,USEE11300195,1976
"Nov 17, 2022","FM:Das Kapital",165005,,"Nov 17, 2022",Nico,"These Days","Chelsea Girl",3:34,USF096625390,2012
"Nov 17, 2022","FM:Das Kapital",165005,,"Nov 17, 2022","Kimya Dawson","Tire Swing","Remember That I Love You",3:08,USK110617501,2006
"Nov 17, 2022","FM:Das Kapital",165005,,"Nov 17, 2022","The Moldy Peaches","Anyone Else But You","The Moldy Peaches",3:00,TCABE1207359,2001
